41169,HIGH
41169,MEDIUM
43112,HIGH
43112,MEDIUM
50071,HIGH
613,HIGH
43112,41169,HIGH
43112,41169,MEDIUM
41169,50071,HIGH
613,41169,HIGH
43112,50071,HIGH
613,43112,HIGH
43112,41169,50071,HIGH
613,43112,41169,HIGH
