1063,HIGH
1171,HIGH
46887,LOW
475,HIGH
51724,HIGH
52277,HIGH
52422,HIGH
766,LOW
475,1063,HIGH
51724,1063,HIGH
52277,1063,HIGH
52422,1063,HIGH
52422,1171,HIGH
475,51724,HIGH
475,52277,HIGH
475,52422,HIGH
52277,51724,HIGH
52422,51724,HIGH
52422,52277,HIGH
475,51724,1063,HIGH
475,52277,1063,HIGH
475,52422,1063,HIGH
51724,52277,1063,HIGH
52422,51724,1063,HIGH
52422,52277,1063,HIGH
475,52277,51724,HIGH
475,52422,51724,HIGH
475,52277,52422,HIGH
52422,52277,51724,HIGH
475,51724,52277,1063,HIGH
475,51724,52422,1063,HIGH
475,52277,52422,1063,HIGH
52422,51724,52277,1063,HIGH
475,52277,52422,51724,HIGH
475,52277,1063,52422,51724,HIGH
