41323,HIGH
48158,HIGH
48445,HIGH
49184,MEDIUM
50084,HIGH
50088,HIGH
50381,HIGH
48445,48158,HIGH
50084,48158,HIGH
50088,48158,HIGH
48158,50381,HIGH
50084,48445,HIGH
48445,50088,HIGH
48445,50381,HIGH
50084,50088,HIGH
50084,50381,HIGH
50088,50381,HIGH
50084,48445,48158,HIGH
48445,50088,48158,HIGH
48445,48158,50381,HIGH
50084,50088,48158,HIGH
50084,48158,50381,HIGH
50088,48158,50381,HIGH
50084,48445,50088,HIGH
50084,48445,50381,HIGH
48445,50088,50381,HIGH
50084,50088,50381,HIGH
50084,48445,50088,48158,HIGH
50084,48445,48158,50381,HIGH
48445,50088,48158,50381,HIGH
50084,50088,48158,50381,HIGH
50084,48445,50088,50381,HIGH
48158,50088,50381,50084,48445,HIGH
